IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/api/v1/museums', PAGE='/api/v1/museums', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:33:17.422629600
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/api/v1/museums/presentation/Rijksmuseum', PAGE='/api/v1/museums/presentation/Rijksmuseum', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:33:22.957344400
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/api/v1/museums/presentation/Rijksmuseum', PAGE='/api/v1/museums/presentation/Rijksmuseum', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:33:47.174724800
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/api/v1/users/login', PAGE='/api/v1/users/login', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='POST', TIMESTAMP=2022-04-18T10:34:48.419226
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/api/v1/museums', PAGE='/api/v1/museums', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:34:48.480244600
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/api/v1/museums/presentation/Rijksmuseum', PAGE='/api/v1/museums/presentation/Rijksmuseum', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:34:51.992194100
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/museums/Rijksmuseum/Landschap_met_waterval.jpg', PAGE='/museums/Rijksmuseum/Landschap_met_waterval.jpg', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:34:52.065208700
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/museums/Rijksmuseum/Het_melkmeisje.jpg', PAGE='/museums/Rijksmuseum/Het_melkmeisje.jpg', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:34:52.065208700
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/museums/Rijksmuseum/De_magere_compagnie.jpg', PAGE='/museums/Rijksmuseum/De_magere_compagnie.jpg', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:34:52.065208700
IP='0:0:0:0:0:0:0:1', URL='http://localhost:9000/museums/Rijksmuseum/Het_Joodse_bruidje.jpg', PAGE='/museums/Rijksmuseum/Het_Joodse_bruidje.jpg', REFERER PAGE='http://localhost:4200/', QUERY STRING='null', USER AGENT='Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.88 Safari/537.36', REQUEST METHOD='GET', TIMESTAMP=2022-04-18T10:34:52.065208700
